artistname,artistid,Total tracks
JIMMY SCOTT,4825,11
Pop Will Eat Itself,3201,11
Lorez Alexandria,813,11
Ramsey Lewis,810,11
Sonny Stitt,897,11
LL Cool J,372,11
Colonel Abrams,1415,11
Kenny Lattimore,1933,11
Bill Monroe,2074,11
Daphne Rubin-Vega,2761,11
Artie Shaw & His Orchestra,2398,10
Benny Goodman,2777,10
Sonny Boy Williamson,2156,10
Rick Springfield,2214,10
Dobie Gray,1564,10
Roy Ayers,1556,10
Control,987,10
Diana Ross & The Supremes,139,10
Amy Winehouse,4,10
Danilo Perez,3308,10
Norman Brown,3971,10
Daniel Lanois,4798,10
Yusef Lateef,4356,10
Marcia Griffiths,7529,10
Weezer,7516,10
Brian,7693,10
Mariah Carey,5732,10
The Cranberries,10582,10
OST,10488,10
Donald Byrd,10772,10
A.R. Rahman,11113,10
Primus,10942,10
Bob Wills,30269,10
Kentucky Headhunters,35221,10
Kurt Rosenwinkel,40337,10
Chick Corea Akoustic Band,40249,10
GRP All-Star Big Band,40430,10
Paloma,41707,10
Christa Ludwig,44014,10
Pee Wee Russell,42851,10
Nelson Rangell,43503,10
Russ Freeman & The Rippingtons,43504,10
The Simpsons,45590,10
Inez Andrews,49241,10
Ernie Andrews,68264,10
STEELHEART,62972,10
Eek-A-Mouse,76574,10
Jon Lucien,77129,10
Tommy Edwards,75289,10
Rick Nelson,17151,10
David Baerwald,16504,10
TNT,15667,10
Los Mismos,17693,10
Louie Ramirez,20037,10
Howard Roberts,19804,10
Hank Jones,26037,10
Kenny Barron,26044,10
Louise Edeiken,2953413,10
Gremal Maldonado,1434792,10
Dezigual,1970271,10
Ahmad Jamal Quintet,2683909,10
Ricki And The Flash,2824033,10
Ruth Mense,2825972,10
Buddy Rich All Stars,1109418,10
The JB's and Fred Wesley,1158825,10
Eddie Cole's Solid Swingers,632207,10
Laureano Brizuela,921440,10
James Davis,935187,10
Willy Chirino,83545,10
Tessie Hill,80513,10
"Kenny ""Babyface"" Edmonds",129764,10
Jimmy Dorsey And His Orchestra,108514,10
Webb Wilder,220934,10
Matthew Morrison,202821,10
Walter Brennan,183556,10
Earl Hooker,170503,10
Buddy Rich Septet,253244,10
Dave Weckl,240388,10
El Tigrillo Palma,260819,10
Bionic Boogie,271636,10
Mel Tillis,277626,10
Love Nut,309004,10
Guillermo Davila,295619,10
Tanya Blount,318347,10
Kansas City All-Stars,319488,10
Miles Jaye,318912,10
Rev. Cleophus Robinson,319136,10
Tom Scott And The L.A. Express,317377,10
"Hamilton, Joe Frank & Reynolds",317170,10
R. Kelly / Jay-Z,369205,10
Grupo Montéz De Durango,342187,10
Brent Mason,342729,10
Sonrisas,341680,10
Terri Lyne Carrington,369331,10
Jose Nogueras,369444,10
Roberto Robles,369447,10
Caleb,369680,10
Kumbiambe,385487,10
"Sergio Vega ""El Shaka""",396032,10
Paper Tongues,430620,10
H.P. Lovecraft,505297,10
Howard Johnson & Gravity,548463,9
"Tito ""El Bambino""",561366,9
Dame Joan Sutherland,395403,9
Jay Lozada,369715,9
Leatherwolf,331202,9
Danny Rojo,324997,9
Los Nuevos Rebeldes,294989,9
Richard Harris,293391,9
La Solucion,299016,9
Randy Brown,271637,9
Karen Clark-Sheard,253644,9
Tony Dize,163492,9
Village People,173530,9
London Philharmonic Orchestra,120152,9
Luis Y Julián,108327,9
Mel & Tim,103154,9
José Manuel Zamacona,921439,9
La Nueva Era,3071706,9
Wilson Jermaine Heredia,3216124,9
Ernest Tubb,20689,9
Allure,14074,9
Children Of Bodom,13277,9
Sonny Clark,17225,9
Cleavant Derricks,54236,9
Wynton Kelly Trio,44083,9
Bennie Green,33175,9
Bobby Helms,31408,9
Johnny Hodges And His Orchestra,31432,9
Art Tatum Trio,30948,9
John Powell,10916,9
Rotary Connection,10274,9
John Cale,10249,9
T-Bone Walker,9558,9
Bobby Taylor,6794,9
Toquinho,8339,9
Sam & Dave,5001,9
The Spinners,4347,9
DeBarge,327,9
Asia,285,9
The Disposable Heroes Of Hiphoprisy,158,9
Grant Green,955,9
R. Dean Taylor,349,9
BT,618,9
Lipps Inc.,1520,9
Gloria Gaynor,1512,9
Graham Parker & The Rumour,1402,9
Ludacris,1305,9
Jack Johnson,1613,9
Dizzy Gillespie & His Orchestra,2121,8
Oscar Peterson Quartet,2907,8
Barry White,1429,8
The Brothers Johnson,1521,8
Ohio Players,1517,8
Rockwell,346,8
The Chipmunks,981,8
Blink-182,34,8
Jermaine Jackson,89,8
Public Enemy,9272,8
Blinky,8837,8
Nat Adderley,10208,8
Judy Garland,10922,8
Peter Criss,11466,8
J.J. Johnson,28658,8
Norman Granz,40373,8
Ed Thigpen,39418,8
Billy Mitchell,40288,8
Cashis,37241,8
David Porter,47993,8
Bobby Hutcherson,17036,8
Jo Stafford,16830,8
U.K.,16370,8
Billy Preston,14048,8
Gabor Szabo,15676,8
Ella Mae Morse,22337,8
Ann Nesby,26851,8
Janine Jansen [Violin],3322092,8
Freddie Gibbs,773065,8
Clamma Dale,2825977,8
Stacy Barthe,1530673,8
Ron Burgundy,2093492,8
Héctor El Father,1984310,8
Gene Ammons,100656,8
Jean Knight,103151,8
Frederick Knight,103152,8
Johnny Rivera,82328,8
Return To Forever / Chick Corea,195882,8
Charlie Parker and His Orchestra,297589,8
Ricardo Silveira,341164,8
Arthur Fiedler / The Boston Pops Orchestra,369241,8
Gregory Porter,368520,8
Kurt Ollmann,367627,7
Brentano String Quartet,333462,7
Atticus Ross,518298,7
Marco Antonio Solís,291579,7
Peter Schmidl,192618,7
Chico Hamilton Quintet,187427,7
Chicago Symphony Orchestra,172033,7
Budd Johnson,241700,7
Trapeze,231422,7
Carter's Chord,277628,7
Renata Tebaldi,125976,7
Martha Tilton,150577,7
Wayne Toups,145003,7
Wiener Jeunesse-Chor,2825974,7
Ben Harney,2821728,7
John Five,3569488,7
Con Funk Shun,25134,7
Dazz Band,18592,7
Hugh Masekela,14715,7
Robin Williams,13437,7
John Klemmer,13819,7
Joe Henderson,16257,7
Billy Squier,15947,7
Lee Morgan,15950,7
Heart,15934,7
George Shearing Quintet,17062,7
Pat Benatar,16922,7
The National Philharmonic Orchestra,45575,7
Lukas Foss,55070,7
Teriyaki Boyz,54117,7
Akiko Suwanai,49608,7
Chick Corea / Return To Forever,76080,7
Clifford Brown / Max Roach Quintet,75122,7
Howlin' Wolf / Eric Clapton,67860,7
Lenny Williams,62970,7
Merry Clayton,40978,7
Parliament,11469,7
Gene Simmons,11465,7
Cal Tjader,11300,7
Roger Hodgson,11313,7
Elliot Goldenthal,11084,7
Nicole Kidman,10994,7
Irma Thomas,10167,7
Tom Jobim,10611,7
Mstislav Rostropovich,6411,7
Thin Lizzy,162,7
Jodeci,31,7
Tears For Fears,286,7
McCoy Tyner,957,7
Herbie Hancock,951,7
Nelson Riddle & His Orchestra,736,7
Valerie Simpson,738,7
Kim Weston,343,7
Mary Wells,351,7
The Gap Band,1514,7
Abba,1475,7
Smash Mouth,1447,7
DMX,1304,7
Itzhak Perlman,2654,7
Boston Symphony Orchestra,2494,6
Rush,1364,6
Bachman-Turner Overdrive,1371,6
The Police,1480,6
Syreeta,1540,6
Wang Chung,241,6
The Pussycat Dolls,7059,6
Fall Out Boy,8860,6
Buddy Guy,8257,6
Monica Zetterlund,3791,6
The Crusaders,10840,6
Koko Taylor,10165,6
Laura Lee,10893,6
Pitbull,11439,6
4 Non Blondes,11397,6
Jody Watley,40598,6
Margie Joseph,39371,6
Brainstorm,36284,6
Peter,28780,6
Bola Sete,31170,6
Ella Fitzgerald / Ellis Larkins,72668,6
Wicked Lester,61682,6
Conway Twitty / Loretta Lynn,72738,6
Nat Adderley / Cannonball Adderley,79284,6
Harry James & His Orchestra,52115,6
Berliner Philharmoniker,49703,6
Junior Parker,56145,6
Billy Idol,16926,6
Bell Biv DeVoe,17532,6
Dexter Gordon,15941,6
Philharmonia Orchestra,16096,6
Jazz Interactions Orchestra,18570,6
Jim Hall,18547,6
The Mighty Mighty Bosstones,18232,6
Joe Lovano Quartet,3377125,6
Alan Loveday,2805839,6
Neil Jenkins,2373106,6
Alma Pulido,2333734,6
Elvin Jones / Jimmy Garrison Sextet / McCoy Tyner,2199881,6
Marie McLaughlin,1249833,6
The Lorax Singers,1253655,6
Jamie N Commons,1112804,6
The Weeknd,1420397,6
The Barden Bellas,1392275,6
PlayRadioPlay!,145690,6
Harry Simeone Chorale,135017,6
Cannonball Adderley / Nat Adderley,143343,6
Jimmy Hughes,137550,6
Pascal Rogé,155599,6
Katy Perry,132790,6
Al De Lory,83853,6
The Newcomers,87030,6
Rocio Banquells,104057,6
Shirley Brown,103157,6
Dewey Redman Quartet,97430,6
Dialogue,99602,6
Steven Wright,93209,6
"Franco ""El Gorilla""",279299,6
The Rustix,274860,6
The Rippingtons / Russ Freeman / Brandon Fields,239586,6
Tyne Daly,177515,6
Paul Sperry,196095,6
Alicia Villarreal,295627,6
The Vandellas,615942,6
Orchestre Symphonique de Montréal,503891,6
The Keynoters,403180,6
ORF Symphony Orchestra,407214,6
Hot Sauce,327308,6
Jessie J,341567,6
Adam Pascal,340338,5
Inez Foxx,286389,5
José Alberto,286536,5
Little Sonny,306319,5
Lionel Hampton & His Quintet,318165,5
Suzee Ikeda,314221,5
Buddy Rich Quintet,196491,5
Johnny Dodds's Black Bottom Stompers,240583,5
Cozy Cole's Big Seven,227447,5
Cannonball Adderley / Nat Adderley / Jimmy Cobb / Junior Mance / Sam Jones,90115,5
Bob Wills & His Texas Playboys / Jack Loyd,89056,5
Procol Harum,125331,5
Ollie & The Nightingales,112100,5
Connie Kay,1379072,5
Lionel Hampton and His Septet,1080627,5
Stuttgarter Kammerorchester,607922,5
Lera Lynn,952217,5
The Wedding Band,904381,5
Leonard Bernstein / London Symphony Orchestra / London Symphony Chorus,2085063,5
Chester Ludgin,2697094,5
Simon Estes,2806458,5
Michael Wager,2825975,5
"Los Angeles Master Chorale, Members",2826299,5
"Hector Bambino ""EL Father""",2833162,5
John Waite,19839,5
Jimmy Martin & The Sunny Mountain Boys,19143,5
Sheryl Lee Ralph,25634,5
Martha Reeves & The Sweet Things,21315,5
Gustavo Santaolalla's Score Musiciens,21296,5
Andrew Strong,15810,5
Grand Funk Railroad,17263,5
Emmanuel,16640,5
Kay Starr,13947,5
Blind Melon,13083,5
Lesley Gore,14043,5
Stanley Clarke,59320,5
Anthony Braxton,45561,5
The Fixx,43494,5
Roswell Rudd,46097,5
Joe Williams / Count Basie,75160,5
Stan Getz Quintet,28190,5
Heavy D & The Boyz,31758,5
The McGuire Sisters,32383,5
Injected,35592,5
Jimmie Lunceford & His Orchestra,40574,5
Vince Gill,41169,5
Charlie Parker,41057,5
Frankie Valli,41309,5
Alien Ant Farm,10909,5
Semisonic,10813,5
Blind Faith,10252,5
Annie Lennox,3300,5
Tom Petty,4996,5
The J. Geils Band,4346,5
The Knack,7375,5
Sugar Pie DeSanto,8347,5
András Schiff,6675,5
Sheryl Crow,254,5
Cat Stevens,194,5
Shanice,340,5
Nelly,61,5
Norah Jones,360,5
David Bowie,365,5
Redman,368,5
The Human League,408,5
Johnny Griffin,724,5
Campo,726,5
Illinois Jacquet,792,5
Intocable,986,5
Teena Marie,1538,5
Snoop Dogg,1130,5
Nigel Kennedy,1021,5
Duke Ellington & His Orchestra,2410,5
Samuel Ramey,2934,5
The Impressions,1563,5
The Troggs,1617,4
Connie Francis,1636,4
Charles Mingus,2768,4
El Coyote Y Su Banda Tierra Santa,1007,4
50 Cent,1297,4
Steam,1529,4
Mary Jane Girls,1557,4
10cc,1503,4
Peter Tosh,843,4
Belinda Carlisle,548,4
Marcy Playground,500,4
Sum 41,355,4
No Doubt,154,4
U2,106,4
The High Numbers,76,4
Bon Jovi,289,4
Nelly Furtado,255,4
Bobby McFerrin,6164,4
Patti Austin,6331,4
The Motels,7046,4
Rise Against,6795,4
Queens Of The Stone Age,5845,4
Beck,5843,4
Midori,8640,4
Diane Schuur,4534,4
Niamh Kavanagh,3303,4
The Doobie Brothers,3973,4
Dru Hill,10298,4
Andrew Lloyd Webber,10174,4
Lee Ann Womack,10245,4
Doug Sahm,9546,4
Shirley Scott,9952,4
Gin Blossoms,10899,4
Maurice & Mac,10895,4
Bobby Moore & The Rhythm Aces,10885,4
Mitty Collier,10879,4
Deep Blue Something,10983,4
Lifehouse,10921,4
David Arnold,11414,4
Barry Adamson,11343,4
Bob Dylan,11350,4
Fred Wesley & The J.B.'s,11374,4
Dishwalla,11393,4
"Original Broadway Cast ""Rent""",11316,4
Mal Waldron,40277,4
Max Roach Quintet,40323,4
Gene Krupa,37209,4
Marilyn Horne,40119,4
Salt-N-Pepa,34988,4
Rachel Portman,32586,4
Mavis Staples,30139,4
Count Basie / Joe Williams,75236,4
Etta James / Sugar Pie DeSanto,73525,4
Duffy,62894,4
Steppenwolf / John Kay,72493,4
Terry Gibbs,46122,4
Beth,58197,4
The Pierces,50587,4
Jimmy Rogers,14705,4
Stealers Wheel,14046,4
Idina Menzel,15739,4
Chuck Jackson,13274,4
June Christy,13952,4
ROYAL CONCERTGEBOUW ORCHESTRA,12916,4
Vanilla Ice,16822,4
Atlanta Rhythm Section,17474,4
Tennessee Ernie Ford,17126,4
Don McLean,15954,4
Ne-Yo,21010,4
The Melodians,22435,4
Big Circo,24731,4
Dulce,27250,4
Tony Allen,18682,4
Jim & Jesse And The Virginia Boys,19141,4
James Monroe & The Midnight Ramblers,19142,4
Ray Brown,18558,4
Helen Forrest,17603,4
El DeBarge,17944,4
Edward Crafts,2953414,4
Crecer Germán,3280537,4
José Eduardo Chama,2957493,4
María Conchita Alonso,3217967,4
Alvara2 de la Sierra,3117761,4
Geru Y Su Legión 7,3337914,4
Richard Brake,3569486,4
Academy of St. Martin  in  the Fields Chorus,2805700,4
Wendy White,2812605,4
Das Sound Machine,2713145,4
The Avener & Kadebostany,2776808,4
Ernie Hines,2529624,4
Eric Mercury,2529636,4
The Avener & Phoebe Killdeer,2594296,4
Jerry Ross Symposium,2092631,4
Young & Sick,2071704,4
Javier Rosas Y Su Artillería Pesada,2181207,4
X Ambassadors,1529714,4
Hour Glass,1908524,4
Leonard Bernstein / London Symphony Orchestra,712713,4
Leonard Bernstein / London Symphony Orchestra / Jerry Hadley,775384,4
Jessie Ware,1125119,4
Ariana Grande,1173275,4
Years & Years,1412602,4
Brighton Festival Chorus,1363436,4
Hank Shocklee,126779,4
The Righteous Brothers,129610,4
Arthur Adams,133891,4
Tito Puente & His Latin Ensemble,161270,4
The B.B. King Blues Band,154725,4
Ray Sepulveda,84845,4
Georgia White,91334,4
Veda Brown,213630,4
The Boston Pops Orchestra / Arthur Fiedler,213642,4
Buddy Rich Ensemble,232562,4
Lady GaGa,237975,4
Conte Candoli,270367,4
Labrenda Ben,274821,4
Grupo Bryndis,260303,4
The Super Stocks,261643,4
Peter Hurford,203988,4
Dave Barker,204649,4
Angelina Reaux,176777,4
Odette Lara,170071,4
Ronee Blakley,172776,4
Banda Los Recoditos,310143,4
Carlin Glynn,314913,4
Choker Campbell,327595,4
Duelo,295107,4
Grupo Limite,295648,4
Los Mier,294954,4
Edgar Joel,341820,4
Ed Helms,350754,4
Booker T. & The M.G.'s,336429,4
Daughter,364258,4
Sheri Greenawald,391360,4
Danny Hutton,440858,4
"Howlin' Wolf with Steve Winwood: Piano & Organ, Bill Wyman: Shaker & Cowbell, Charlie Watts: Drums, Conga & Assorted Percussion",513398,4
Sisters Love,537602,4
J King y Maximan,563534,3
Trombone Shorty,599583,3
The Band Perry,503318,3
"Howlin' Wolf with Steve Winwood: Piano & Organ, Bill Wyman: Bass Guitar, Shaker & Cowbell, Charlie Watts: Drums, Conga & Assorted Percussion",513401,3
The Naturals,494087,3
Los Yonic's,497654,3
Samuray,466932,3
"The Choir of King's College, Cambridge",465094,3
Kenneth Tarver,452765,3
Danny Jacob,430600,3
Los Angeles Philharmonic Orchestra,447814,3
Grupo Carabo,414115,3
Mário Delgado,386987,3
The Ben Webster Quintet,403178,3
Black Nasty,336502,3
The Temprees,336420,3
The Allman Joys,369332,3
Les Atheniens,377466,3
Justin Bieber,374358,3
El Roockie,294873,3
El Potro De Sinaloa,294985,3
Fidel Rueda,294986,3
Pedro Fernández,295628,3
Los Temerarios,298675,3
"The 5,6,7,8's",287039,3
El Chapo,298731,3
Ralphie Leavitt,299020,3
The Fraternity Of Man,298962,3
Palomo,309054,3
J.A.T.P. Allstars,309629,3
The Rippingtons / Brandon Fields / Russ Freeman,326285,3
Dave Grusin / Harvey Mason / John Patitucci / Lee Ritenour,326311,3
Stefan,328238,3
Zydecajun / Wayne Toups,319389,3
Los Bukis,313174,3
Tony & Carolyn,314224,3
Lodi,314216,3
"Richard ""Popcorn"" Wylie",314217,3
My Friends,314218,3
Sunday Funnies,314219,3
Jack Hammer,314220,3
Banda Degollado,318498,3
Daniel Jenkins,317402,3
LMFAO,312837,3
Joey Montana,167178,3
Carl Dawkins,204659,3
Demi Lovato,217429,3
The MGs,213623,3
Della Jones,196169,3
Evil Nine,197778,3
Stoney,184120,3
Budapest Festival Orchestra,190249,3
Rufus & Chaka Khan,265941,3
Tom Clay,267099,3
Freddie Slack's Eight Beats By Four,254593,3
Benny Cassette,273102,3
Allan Nicholls,274946,3
Magnate Y Valentino,276987,3
John Williams / The Chieftains,279132,3
Coleman Hawkins / Tony Scott And The All Stars,227448,3
Nana Mouskouri,230492,3
Arc Angels,240125,3
Primer 55,240026,3
Kris Kristofferson / Rita Coolidge,240447,3
Rene & Angela,100647,3
The Reds,97740,3
Roy Ayers Ubiquity,98034,3
The Pied Pipers,103545,3
Ivy Jo,111548,3
Major Lance,100563,3
Nelson,100645,3
Sergio Mendes & Brasil '77,92066,3
The Rippingtons / Russ Freeman,83974,3
Karina,81956,3
Starpoint,145753,3
Radu Lupu,156683,3
Rosa,163476,3
Nuria Fergó,163479,3
Alejandro Fernández,127904,3
Lionel Hampton And His Septet / Dinah Washington,126802,3
Joe Williams / Count Basie And His Orchestra,1393823,3
Bjorn Eriksson,1415385,3
Culturas,1398815,3
David Livingston,1275459,3
GARY CROSBY,1211085,3
The Festivals,1259634,3
3BallMTY,1158898,3
Sylvia McNair,1154875,3
The Outatime Orchestra,1133839,3
James Jamerson,1035033,3
Emeli Sandé,1046416,3
Los Nuevos Santa Rosa,1058186,3
Eric & The Vikings,783020,3
AWOLNATION,796728,3
Ladrón,921511,3
Jim Broadbent,858051,3
Bastille,972920,3
The Devastating Affair,1899606,3
The Courtship,1899607,3
Howl The Good,1899609,3
Chris Holland & T-Bone,1899610,3
Lester Young / Nat King Cole / Buddy Rich,1883594,3
Alastair Ross,1869512,3
Blue Scepter,1899604,3
Laura Welsh,1528760,3
Lorde,1509597,3
Vaults,2249279,3
Leroy Powell,2131624,3
Cheyo Carrillo,2062371,3
Billy Proctor,2092630,3
Shelly Lares,2082740,3
Michelle Aller,2092633,3
Bea Miller,2030339,3
John Kasandra,2529629,3
BØRNS,2442580,3
Mel Tillis And The Statesiders,2661446,3
Andre Come,2821761,3
Robert Karol,2821762,3
Buddy Baker Orchestra,3727034,3
Charles Chalmers,4229535,3
Raúl Casillas,3524382,3
Chayín Rubio,3117778,3
Barns Courtney,3031650,3
Jesse L. Martin,3216128,3
Christian Nodal,3265024,3
Victor Acquah,2936607,3
Hailee Steinfeld,2864630,3
Scarface,17750,3
Sam The Sham & The Pharaohs,18007,3
Abbey Lincoln,18548,3
Nellie Lutcher,18162,3
Katrina & The Waves,19109,3
Andy Russell,19047,3
Louis Bellson,18573,3
Lester Flatt & The Nashville Grass,19144,3
Amos Milburn,19409,3
Julian Lloyd Webber,26097,3
The Turtles,27501,3
The Nightingales,24369,3
A Taste Of Honey,21246,3
Roger McGuinn,20696,3
High Inergy,21444,3
Wayne Shorter,15942,3
Cutting Crew,16263,3
Cassandra Wilson,16249,3
Simple Minds,16269,3
Paula Abdul,16272,3
Kitty Wells,16474,3
Fred Astaire,17270,3
Roni Size,17586,3
Stan Kenton And His Orchestra,16776,3
Butthole Surfers,16860,3
Julie London,13951,3
Woody Herman,13818,3
Nicolai Gedda,12315,3
Patti Page,15643,3
The Love Unlimited Orchestra,15255,3
Robert Glasper,15536,3
Billie Holiday & Her Orchestra,50208,3
Jeanne & The Darlings,48003,3
Memphis Minnie,52722,3
Cristina Ortiz,56616,3
Encyclopedia Of Jazz All-Stars,46114,3
The Byrds,46282,3
Tony Scott,44076,3
Barbara Mendes,43864,3
Greenwheel,67601,3
Clifford Brown All Stars,61628,3
Kai Winding,61091,3
DJ Shadow / Chris James,74021,3
Etta James / Harvey Fuqua,72665,3
"Miles Davis / Charlie Parker / Walter Bishop, Jr. / Teddy Kotick / Max Roach",75031,3
Charlie Parker / Dizzy Gillespie,74025,3
Hank Williams / The Drifting Cowboys,73130,3
Duke Ellington / Coleman Hawkins,75370,3
I Musici,78363,3
Baden Powell / Mauricio Einhorn,79135,3
The Messengers,77635,3
Billie Holiday / Louis Armstrong,75491,3
Paul Williams,28230,3
Woody Herman And His Orchestra,28364,3
Acoustic Alchemy,29739,3
Judy Clay,30138,3
Bruce Channel,31404,3
Anberlin,29480,3
Gilbert Millstein,40372,3
Local H,40608,3
The Lester Young - Teddy Wilson Quartet,40605,3
Leonard Feather,40376,3
Harold Melvin & The Blue Notes,41873,3
Alberta Hunter,41915,3
Luiz Bonfa,11302,3
Dennis Edwards,11151,3
Hole,11083,3
Desmond Dekker & The Aces,11451,3
John Kay,11463,3
AFI,10923,3
Blackstreet,10984,3
RC,11036,3
Johnny Nash,10876,3
Jackie Ross,10881,3
Billy Stewart,10874,3
Poco,9597,3
Zion,8864,3
Eve,9387,3
The Dynamic Superiors,10151,3
Lowell Fulson,10166,3
Michel Legrand,10304,3
Paul Kossoff,10289,3
Something Corporate,10839,3
Coleman Hawkins Quartet,3935,3
The Carter Family,3426,3
Barbara Lewis,5026,3
Blondie,8807,3
Canned Heat,8808,3
The Wallflowers,8369,3
The Boys,7364,3
Wayne Newton,7120,3
The Kooks,7149,3
Atari Teenage Riot,7163,3
Derrick Morgan,7589,3
Larry Carlton,5298,3
"Earth, Wind & Fire",5339,3
Virgil Henry,6787,3
Smashing Pumpkins,7017,3
Pilar Montenegro,7062,3
N.E.R.D.,206,3
Justin Hayward,166,3
Mable John,173,3
Soft Cell,296,3
ABC,297,3
Tom Waits,307,3
Rufus Wainwright,266,3
Snow Patrol,269,3
Eminem,262,3
Frankie Valli And The Four Seasons,326,3
Sting,71,3
Sia,6,3
Yvonne Fair,350,3
The Verve,543,3
Orquesta Del Plata,725,3
Chris De Burgh,721,3
Thelonious Monk,953,3
Slim Gaillard,780,3
Caetano Veloso,739,3
Moviola,728,3
Roland Kirk Quartet,774,3
Maria McKee,1491,3
Fontella Bass,1555,3
Chingy,1024,3
Cleo Laine,2262,3
Sonny Rollins,2912,3
Linda Ronstadt,2804,3
Barry Manilow,1966,3
Dionne Warwick,1968,3
Fat Joe,2163,3
Leontyne Price,2315,3
Birgit Nilsson,2359,3
Montserrat Caballé,2298,3
Michael Penn,2238,2
Funkmaster Flex,2157,2
Dolly Parton,2199,2
The Four Aces,1634,2
Aretha Franklin,1982,2
Wayne Fontana & The Mindbenders,1627,2
Jeff Lorber,1611,2
San Francisco Symphony,2994,2
Jelly Roll Morton,2778,2
Sidney Bechet,2432,2
Odyssey,2532,2
Nick Ingman,2728,2
Jackie Gleason,2700,2
Gwen Stefani,1059,2
Millie,1013,2
Shania Twain,1062,2
Busta Rhymes,1302,2
Jefferson Airplane,1224,2
Tammi Terrell,1334,2
Emmylou Harris,1350,2
Memphis Bleek,1365,2
Rainbow,1376,2
Ugly Kid Joe,1377,2
Iggy Pop,1393,2
Urge Overkill,1394,2
Tesla,1396,2
Jan Hammer,1418,2
Squeeze,1401,2
The Tams,1559,2
Gene Chandler,1561,2
Tiffany,1548,2
Trio,1411,2
Eddie Holman,1494,2
Del Amitri,1496,2
James,760,2
Nickelback,669,2
Roland Kirk,773,2
Supervielle,730,2
Ike Quebec,1001,2
Rammstein,845,2
Yeah Yeah Yeahs,892,2
Mos Def,832,2
Jimmy Eat World,823,2
Brian Wilson,611,2
Fatboy Slim,613,2
Mazzy Star,502,2
Kiki Dee,332,2
The Sundays,497,2
Warren G,60,2
Scissor Sisters,156,2
The Delta Rhythm Boys,315,2
Ryan Adams,264,2
Level 42,292,2
Ronan Keating,201,2
The Cure,258,2
Suzanne Vega,249,2
Jadakiss,253,2
Mya,7065,2
Chris,6861,2
Vangelis,6309,2
Daniel Barenboim,6090,2
Los Acosta,6665,2
Herbert,6760,2
The Contours,6786,2
Shack,5617,2
Milt Jackson,5262,2
Timbaland,5850,2
Sandie Shaw,5872,2
The Crystal Method,5763,2
Minnie Riperton,7040,2
Barrington Levy,7570,2
Dirtbag,8267,2
Mandrill,8175,2
The J.B.'s,8077,2
Powerman 5000,7658,2
Carlos Bonell,7282,2
Nine Inch Nails,7338,2
The Big Three,7353,2
Jin,7137,2
Beenie Man,7537,2
The Jazz Crusaders,8406,2
Owen Gray,7690,2
Foo Fighters,8293,2
Tank,8727,2
Lightnin' Hopkins,8591,2
Blackstar,8560,2
Daddy Yankee,8862,2
The Sweet Inspirations,5025,2
Jimmy Durante,5150,2
Wilson Pickett,4958,2
Sister Sledge,4960,2
Charlie Rich,4839,2
Joe Turner,4940,2
Rick Braun,4518,2
Ted Nugent,4392,2
Christopher Williams,4671,2
Yellowjackets,4693,2
Bee Gees,4736,2
Jay-Z,3565,2
Steve Wariner,3418,2
Emma Kirkby,3592,2
The Brecker Brothers,3239,2
Al Martino,3212,2
Blake Shelton,3956,2
Percy Sledge,4351,2
Ray Charles,4342,2
The Tango Project,4315,2
Eumir Deodato,10777,2
The Mugwumps,10844,2
John Phillips,10846,2
Lyn Collins,10741,2
The Gems,10272,2
Stanley Turrentine,10428,2
New Radicals,10171,2
Midtown,10235,2
Junior Mance,10217,2
Shaggy,10206,2
Bruce Willis,10185,2
Aqua,10187,2
Willie Smith,9254,2
Bryn Terfel,8883,2
The Company,9808,2
Al Hibbler,9578,2
Joseph Arthur,9827,2
Musiq,10871,2
The Radiants,10880,2
Tony Clarke,10878,2
Nas,11066,2
Rob Zombie,10941,2
Ewan McGregor,10996,2
Cold,11002,2
Dead Prez,11007,2
Sevendust,10929,2
Buckcherry,10906,2
Jennifer Saunders,10951,2
Trent Reznor,11342,2
The Osmonds,11371,2
Delaney Bonnie & Friends,11285,2
The Youngbloods,42785,2
Shade Sheist,42826,2
Lester Young,41059,2
Spyro Gyra,40784,2
The Indians,40933,2
Lil's Hot Shots,40616,2
Willis Conover,40374,2
The Lester Young Quartet,40606,2
Ella Fitzgerald / Louis Armstrong,40471,2
George Russell,40245,2
Keith Carradine,39766,2
Pam & Dodi,39309,2
Herb Ellis,38401,2
Jimmie Noone,37072,2
Tarkan,37103,2
Marvin Gaye / Tammi Terrell,36468,2
Helen O'Connell,36990,2
Jaap Schröder,35899,2
Yarbrough & Peoples,31733,2
Fergie,30491,2
Earl Van Dyke and The Motown Brass,30157,2
The Mar-Keys,29182,2
The Runaways,29232,2
Taio Cruz,32697,2
The T.S.U. Toronadoes,33887,2
Os Cariocas,32749,2
Latin Breed,34104,2
House Of Pain,34157,2
Jesse Johnson,35602,2
Tracy Bonham,35223,2
Gianluca Grignani,35234,2
Creed,35588,2
Ledisi,75381,2
Dinah Washington / Ben Webster,75349,2
Clifford Brown / Max Roach,75042,2
Sam Moore / Conway Twitty,75284,2
Count Basie / Ella Fitzgerald / Joe Williams,75237,2
Barbara Mandrell / George Jones,75128,2
Blue Cheer,73149,2
Johnny Cash / Waylon Jennings,73605,2
The Supremes / Four Tops,73399,2
Cristian Castro,61829,2
Coal Chamber,62825,2
Mike Simpson,66150,2
