artistname,artistid,Total tracks
Tom Petty And The Heartbreakers,3953,57
Kelly Price,10299,57
Mary J. Blige,43,57
Joan Osborne,1492,56
Ashanti,1577,56
Luciano Pavarotti,11423,56
UB40,545,55
The Ozark Mountain Daredevils,45588,55
The Hit Crew,62783,55
"José Alberto ""El Canario""",973655,55
Elvis Costello & The Imposters,76154,54
Delbert McClinton,39317,54
Mazz,627,54
George Benson,812,54
Dave Grusin,777,54
Keith Jarrett,2285,54
Nils Lofgren,1379,54
Howlin' Wolf,10229,54
John Coltrane,5065,54
David Benoit,1734,53
Martha Reeves & The Vandellas,67,53
Melissa Etheridge,163,53
Charlie Parker Quintet,18564,53
Burl Ives,25732,52
James Gang,54853,52
Atlantic Starr,1416,52
Dashboard Confessional,1453,52
Humble Pie,235338,52
Conjunto Primavera,170451,52
Belanova,142445,52
Marvin Santiago,299014,52
Jamie Cullum,1078,51
Marilyn Manson,827,51
Stéphane Grappelli,2730,50
Mama Cass,7056,50
Elliott Smith,10583,49
The Pointer Sisters,2249,49
Bobby Brown,312,49
Thomas Newman,36978,49
James Newton Howard,41212,49
Michael Stuart,237645,49
Jackyl,34652,48
The Stanley Brothers,18507,48
Wisin & Yandel,14805,48
The Andrews Sisters,2392,48
Soundgarden,11314,48
The Band,2414,47
Lee Greenwood,1643,47
Willie Bobo,15815,47
David Wilcox,15917,46
Joshua Bell,53806,46
London Symphony Orchestra,2308,46
Joe Williams,2807,46
Jimmy Cliff,95,46
Steve Earle,5103,46
Shawn Phillips,238387,46
Los Caminantes,121387,46
Bobby Pulido,83148,46
Pablo Cruise,298942,46
Alacranes Musical,119000,45
Jamey Johnson,143429,45
Café Tacvba,5695,45
Jerry Butler,10152,45
Jeffrey Osborne,302,45
Roger Williams,45572,45
Slick Rick,18206,45
Benny Goodman & His Orchestra,16775,44
La Tropa F,17255,44
James Brown & The Famous Flames,188,44
Smokey Robinson,70,44
José Feliciano,2082,44
Erroll Garner,10520,44
Chely Wright,10242,44
Rihanna,10653,43
"Sammy Davis, Jr.",8343,43
Earl Van Dyke,342,43
The Upsetters,17446,43
Tito Nieves,11820,43
Celia Cruz,35225,43
Marc Antoine,40465,43
Industria Del Amor,309056,43
Los Horóscopos De Durango,295110,42
Skylar Grey,1014023,42
Hanson,11741,42
D'Angelo,14072,42
Will Downing,303,42
Angelo Badalamenti,1796,42
Mark Wills,4947,42
Craig Armstrong,9155,42
Nitty Gritty Dirt Band,4728,41
The Rippingtons,1740,41
Dean Martin,2699,41
The Crickets,42,41
Peggy Lee,820,41
Art Porter,314616,41
That Dog,317475,41
Ana Bárbara,342469,41
Rufus,118527,41
L.A. Guns,1390,40
Lou Rawls,11572,40
One Way,16472,40
Head East,42706,40
O.V. Wright,39300,40
Johnny Burnette & The Rock 'n' Roll Trio,45026,40
Shooter Jennings,25637,39
Conjunto Atardecer,306630,39
Orquesta La Solución,1518625,39
The Moody Blues,161683,38
David Lee Garza,15924,38
Nat King Cole Trio,28200,38
Roy Orbison,482,38
Mark Chesnutt,4944,38
Sonny & Cher,11447,37
Marc Anthony,10869,37
Counting Crows,257,37
Freddie Slack And His Orchestra,52911,37
The Grass Roots,60051,37
Vikki Carr,17216,37
Josh Turner,16509,37
Lester Young,18553,37
American Hi-Fi,17485,36
Ready For The World,39310,36
Black Sheep,719,36
Vanessa Carlton,1061,36
Commodores,1333,36
Rita Coolidge,10987,36
Dee Dee Bridgewater,10773,36
Buddy Holly & The Crickets,10314,36
Phil Ochs,6052,36
Laura Canales,121818,36
Sparkle,276006,36
Prague Philharmonia,175231,36
Sage The Gemini,1981457,36
Remmy Valenzuela,2181205,36
Material Issue,240047,35
Johnny Gill,3115,35
"GROVER WASHINGTON, JR.",10616,35
Swizz Beatz,10918,35
Meat Loaf,409,35
Various Artists,209,35
The Commitments,29,35
Dusty Springfield,673,34
Margaret Whiting,785,34
Enrique Iglesias,1455,34
Carla Thomas,4966,34
"Ray, Goodman & Brown",17531,34
The Black Eyed Peas,15260,34
Toni Childs,19155,34
Los Angeles Philharmonic,191797,34
Arthur Grumiaux,132648,34
Clay Aiken,99951,34
Gloria Trevi,305550,34
Hollywood Vampires,2864629,34
Chamillionaire,26363,33
Paul Anka,3080,33
Nicola Benedetti,8356,32
Les Paul,8389,32
Sonic Youth,1458,32
Lloyd Price,20787,32
t.A.T.u.,12242,32
Héctor Tricoche,2040457,32
La Arrolladora Banda El Limón De René Camacho,1074512,32
Israel Philharmonic Orchestra,288447,32
Ella Fitzgerald And Her Savoy Eight,521890,32
Rich Boy,91690,31
Kyung Wha Chung,752082,31
Pat Boone,20784,31
Leon Haywood,18204,31
Johnny Ace,30636,31
Bryan Adams,1428,31
Ja Rule,828,31
Ike & Tina Turner,38,31
Benny Carter,8344,31
K-Ci & JoJo,10231,31
Gustavo Santaolalla,5897,30
Charles Brown,4681,30
Kool & The Gang,288,30
Hoobastank,807,30
Peaches & Herb,1490,30
Gwen Guthrie,1537,30
Yvonne Elliman,1516,30
The Dells,1567,30
Elvin Bishop,51754,30
Willie Rosario,48509,30
Jeri Southern,17209,30
Saul El Jaguar Alarcón,1415362,30
The Tenors,284181,30
Mazizo Musical,298668,30
Brazeros Musical De Durango,306274,30
Pebbles,100646,29
David Garrett,137778,29
Jean-Yves Thibaudet,126757,29
Kiri Te Kanawa,11952,29
Juanes,21305,29
Mighty Clouds Of Joy,27035,29
Southside Johnny & The Asbury Jukes,39262,29
Rusted Root,41022,29
Smokey Robinson & The Miracles,68,29
Grace Jones,54,29
The Isley Brothers,86,29
Kenny Rogers,318,28
Whitesnake,560,28
Baby Washington,8396,28
Eddie Floyd,10467,28
Molotov,10279,28
Sarah Brightman,11291,28
"Clarence ""Gatemouth"" Brown",40346,28
James Horner,37511,28
Christopher Young,48905,28
The Del-Vikings,75291,28
The Dixie Hummingbirds,21981,28
Bob Wills & his Texas Playboys,22553,28
AZ,17938,28
Dyango,18694,28
Lil' Troy,318314,28
Black Guayaba,298953,27
Glenn Frey,91916,27
Shriekback,87883,27
George London,200955,27
Robert DeLong,1416607,27
Halsey,2148903,27
The Go-Go's,19058,27
Sister Hazel,15229,27
Hilary Hahn,61305,27
Sir Mix-A-Lot,36821,27
Charlie Haden Quartet West,40317,27
Rufus Featuring Chaka Khan,31751,27
Jonny Lang,11139,27
Aaron Neville,10900,27
Boston,10169,27
Hans Zimmer,9855,27
Kanye West,822,27
Mel Tormé,2543,27
Tom Scott,1764,26
Edie Brickell & New Bohemians,1406,26
2Pac,322,26
The Wailers,160,26
Paul Weller,51,26
Sister Rosetta Tharpe,9253,26
Natalie Cole,4139,26
MIKA,29627,26
Charlie Parker Septet,40290,26
Berlin,56020,26
Pharoah Sanders,14013,26
